site,catchment,year,live_births
Bangladesh,Baliakandi,2017,4787
Bangladesh,Baliakandi,2018,4078
Bangladesh,Baliakandi,2019,5193
Bangladesh,Baliakandi,2020,5090
Ethiopia,Haramaya,2020,3210
Ethiopia,Harar,2019,469
Ethiopia,Harar,2020,768
Ethiopia,Kersa,2019,2553
Ethiopia,Kersa,2020,4017
Kenya,Manyatta,2017,1196
Kenya,Manyatta,2018,1233
Kenya,Manyatta,2019,1158
Kenya,Manyatta,2020,1196
Kenya,Siaya,2017,1933
Kenya,Siaya,2018,2050
Kenya,Siaya,2019,1988
Kenya,Siaya,2020,1990
Mali,Bamako,2017,6708
Mali,Bamako,2018,6624
Mali,Bamako,2019,7602
Mali,Bamako,2020,6978
Mozambique,Manhica,2017,5459
Mozambique,Manhica,2018,5615
Mozambique,Manhica,2019,5567
Mozambique,Manhica,2020,5248
South Africa,Soweto,2017,3000
South Africa,Soweto,2018,2236
South Africa,Soweto,2019,1069
South Africa,Soweto,2020,1233
