site,season,start,end
S6,Dry,2017-01-01,2017-05-31
S6,Rainy,2017-06-01,2017-10-31
S6,Dry,2017-11-01,2018-05-31
S6,Rainy,2018-06-01,2018-10-31
S6,Dry,2018-11-01,2019-05-31
S6,Rainy,2019-06-01,2019-10-31
S6,Dry,2019-11-01,2020-05-31
S6,Rainy,2020-06-01,2020-10-31
S6,Dry,2020-11-01,2020-12-31
S5,Dry,2017-01-01,2017-05-31
S5,Rainy,2017-06-01,2017-09-30
S5,Dry,2017-10-01,2018-05-31
S5,Rainy,2018-06-01,2018-09-30
S5,Dry,2018-10-01,2019-05-31
S5,Rainy,2019-06-01,2019-09-30
S5,Dry,2019-10-01,2020-05-31
S5,Rainy,2020-06-01,2020-09-30
S5,Dry,2020-10-01,2020-12-31
S7,Dry,2017-01-01,2017-03-31
S7,Rainy,2017-04-01,2017-06-30
S7,Dry,2017-07-01,2017-07-31
S7,Rainy,2017-08-01,2017-11-30
S7,Dry,2017-12-01,2017-12-31
S7,Dry,2018-01-01,2018-03-31
S7,Rainy,2018-04-01,2018-06-30
S7,Dry,2018-07-01,2018-07-31
S7,Rainy,2018-08-01,2018-11-30
S7,Dry,2018-12-01,2018-12-31
S7,Dry,2019-01-01,2019-03-31
S7,Rainy,2019-04-01,2019-06-30
S7,Dry,2019-07-01,2019-07-31
S7,Rainy,2019-08-01,2019-11-30
S7,Dry,2019-12-01,2019-12-31
S7,Dry,2020-01-01,2020-03-31
S7,Rainy,2020-04-01,2020-06-30
S7,Dry,2020-07-01,2020-07-31
S7,Rainy,2020-08-01,2020-11-30
S7,Dry,2020-12-01,2020-12-31
S2,Dry,2017-01-01,2017-05-31
S2,Rainy,2017-06-01,2017-10-31
S2,Dry,2017-11-01,2018-05-31
S2,Rainy,2018-06-01,2018-10-31
S2,Dry,2018-11-01,2019-05-31
S2,Rainy,2019-06-01,2019-10-31
S2,Dry,2019-11-01,2020-05-31
S2,Rainy,2020-06-01,2020-10-31
S2,Dry,2020-11-01,2020-12-31
S3,Rainy,2017-01-01,2017-04-30
S3,Dry,2017-05-01,2017-10-31
S3,Rainy,2017-11-01,2018-04-30
S3,Dry,2018-05-01,2018-10-31
S3,Rainy,2018-11-01,2019-04-30
S3,Dry,2019-05-01,2019-10-31
S3,Rainy,2019-11-01,2020-04-30
S3,Dry,2020-05-01,2020-10-31
S3,Rainy,2020-11-01,2020-12-31
S1,Dry,2017-01-01,2017-05-31
S1,Rainy,2017-06-01,2017-09-30
S1,Dry,2017-10-01,2018-05-31
S1,Rainy,2018-06-01,2018-09-30
S1,Dry,2018-10-01,2019-05-31
S1,Rainy,2019-06-01,2019-09-30
S1,Dry,2019-10-01,2020-05-31
S1,Rainy,2020-06-01,2020-09-30
S1,Dry,2020-10-01,2020-12-31
S4,Rainy,2017-01-01,2017-02-28
S4,Dry,2017-03-01,2017-11-30
S4,Rainy,2017-12-01,2018-02-28
S4,Dry,2018-03-01,2018-11-30
S4,Rainy,2018-12-01,2019-02-28
S4,Dry,2019-03-01,2019-11-30
S4,Rainy,2019-12-01,2020-02-29
S4,Dry,2020-03-01,2020-11-30
S4,Rainy,2020-12-01,2020-12-31
